Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:57:06
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Simples\T3\fem1simplesT3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  276                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 129 124 123
  277                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 181 127 122
  278                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 181 182 127
  279                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 122 128 123
  280                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 122 127 128
  281                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 124 130 125
  282                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 124 129 130
  283                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 125 131 126
  284                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 125 130 131
  285                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 91 132 92
  286                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 132 126 131
  287                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 132 91 126
  288                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 133 200 201
  289                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 200 138 199
  290                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 138 133 134
  291                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 138 200 133
  292                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 134 136 138
  293                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 134 135 136
