Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:14:18
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Entalhe Pontos\T3\fem1T3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  169                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 63 62
  170                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 74 63
  171                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 80 69 68
  172                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 69 79 70
  173                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 79 80 78
  174                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 79 69 80
  175                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 78 82 77
  176                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 78 80 82
  177                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 68 67
  178                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 80 81 82
  179                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 80 68 81
  180                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 101 102
  181                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 82 101 77
  182                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 82 83 101
  183                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 83 100 101
  184                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 66 84 67
  185                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 115 85 66
  186                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 133 98
  187                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 115 133
  188                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 84 98 99
  189                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 84 66
  190                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 98 84
  191                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 84 81 67
  192                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 100 83
  193                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 99 86 84
  194                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 99 100 86
  195                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 81 84
  196                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 83 82
  197                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 86 83
  198                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 71 89 72
  199                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 89 70 79
  200                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 89 71 70
  201                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 72 88 73
  202                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 72 89 88
  203                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 87 79 78
  204                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 89 87 88
  205                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 89 79 87
  206                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 91 74
  207                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 78 77
  208                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 88 91 73
  209                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 88 90 91
  210                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 87 78
  211                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 88 87
  212                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 92 91
  213                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 92 103 104
  214                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 92 93 103
  215                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 92 90 93
  216                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 93 102 103
  217                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 93 90
